time,x,y,z
8.64,25.6167,66.6359,-5.97358e-10
8.66,25.1247,66.6313,2.98023e-08
8.68,24.6329,66.6197,1.51998e-08
8.7,24.141,66.6082,1.51998e-08
8.72,23.6491,66.5967,1.51998e-08
8.74,23.1572,66.5871,1.51998e-08
8.76,22.6653,66.5793,1.51998e-08
8.78,22.1734,66.5716,1.51998e-08
8.8,21.6814,66.5638,0
8.82,21.1895,66.5561,0
8.84,20.6975,66.5483,0
8.86,20.2056,66.5405,0
8.88,19.7137,66.5328,0
8.9,19.2217,66.525,0
8.92,18.7298,66.5172,0
8.94,18.2379,66.5095,0
8.96,17.7459,66.5017,0
8.98,17.254,66.494,0
9,16.762,66.4862,0
9.02,16.2701,66.4784,0
9.04,15.7782,66.4707,0
9.06,15.2862,66.4629,-1.46025e-08
9.08,14.7943,66.4551,-1.46025e-08
9.1,14.3023,66.4474,-1.46025e-08
9.12,13.8104,66.4396,-1.46025e-08
9.14,13.3185,66.4319,-1.46025e-08
9.16,12.8265,66.4241,-1.46025e-08
9.18,12.3346,66.4163,-7.8986e-09
9.2,11.8427,66.4086,-7.8986e-09
9.22,11.3507,66.4008,-7.8986e-09
9.24,10.8588,66.393,-7.8986e-09
9.26,10.3668,66.3853,-7.8986e-09
9.28,9.8749,66.3775,-7.8986e-09
9.3,9.38296,66.3698,1.49012e-08
9.32,8.89102,66.362,3.68049e-08
9.34,8.39908,66.3542,3.68049e-08
9.36,7.90714,66.3465,3.68049e-08
9.38,7.4152,66.3387,3.68049e-08
9.4,6.92326,66.3309,3.68049e-08
9.42,6.43133,66.3232,4.50022e-08
9.44,5.93939,66.3154,1.57972e-08
9.46,5.44745,66.3077,1.57972e-08
9.48,4.95551,66.2999,1.57972e-08
9.5,4.46357,66.2921,1.57972e-08
9.52,3.97163,66.2844,1.57972e-08
9.54,3.47969,66.2766,-1.46025e-08
9.56,2.98775,66.2689,-2.25011e-08
9.58,2.49582,66.2611,-2.25011e-08
9.6,2.00388,66.2533,-2.25011e-08
9.62,1.51194,66.2456,-2.25011e-08
9.64,1.02,66.2378,-2.25011e-08
9.66,0.52806,66.23,-2.25011e-08
9.68,0.0361214,66.2223,-1.49012e-08
9.7,-0.455817,66.2145,-7.59992e-09
9.72,-0.947756,66.2068,-7.59992e-09
9.74,-1.43969,66.199,-7.59992e-09
9.76,-1.93163,66.1912,-7.59992e-09
9.78,-2.42357,66.1835,-7.59992e-09
9.8,-2.91551,66.1757,0
9.82,-3.40745,66.1679,0
9.84,-3.89939,66.1602,0
9.86,-4.39133,66.1524,0
9.88,-4.88327,66.1447,0
9.9,-5.37521,66.1369,0
9.92,-5.86714,66.1291,0
9.94,-6.35908,66.1214,7.30124e-09
9.96,-6.85102,66.1136,7.30124e-09
9.98,-7.34296,66.1058,7.30124e-09
10,-7.8349,66.0981,7.30124e-09
10.02,-8.32684,66.0903,7.30124e-09
10.04,-8.81878,66.0826,7.30124e-09
10.06,-9.31072,66.0748,2.22024e-08
10.08,-9.80265,66.067,2.22024e-08
10.1,-10.2946,66.0593,2.22024e-08
10.12,-10.7865,66.0515,2.22024e-08
10.14,-11.2785,66.0437,2.22024e-08
10.16,-11.7704,66.036,2.22024e-08
10.18,-12.2623,66.0282,2.98023e-08
10.2,-12.7543,66.0205,1.51998e-08
10.22,-13.2462,66.0127,1.51998e-08
10.24,-13.7382,66.0049,1.51998e-08
10.26,-14.2301,65.9972,1.51998e-08
10.28,-14.722,65.9894,1.51998e-08
10.3,-15.214,65.9817,0
10.32,-15.7059,65.9739,0
10.34,-16.1979,65.9661,0
10.36,-16.6898,65.9584,0
10.38,-17.1817,65.9506,0
10.4,-17.6737,65.9428,0
10.42,-18.1656,65.9351,0
10.44,-18.6576,65.9273,0
10.46,-19.1495,65.9196,0
10.48,-19.6414,65.9118,0
10.5,-20.1334,65.904,0
10.52,-20.6253,65.8963,0
10.54,-21.1172,65.8885,0
10.56,-21.6092,65.8807,0
10.58,-22.1011,65.873,-1.46025e-08
10.6,-22.5931,65.8652,-1.46025e-08
10.62,-23.085,65.8575,-1.46025e-08
10.64,-23.5769,65.8497,-1.46025e-08
10.66,-24.0689,65.8419,-1.46025e-08
10.68,-24.5608,65.8342,-2.98023e-08
10.7,-25.0528,65.8264,-2.25011e-08
10.72,-25.5447,65.8186,-2.25011e-08
10.74,-26.0366,65.8109,-2.25011e-08
10.76,-26.5286,65.8031,-2.25011e-08
10.78,-27.0205,65.7954,-2.25011e-08
10.8,-27.5124,65.7876,-2.25011e-08
10.82,-28.0044,65.7798,-7.59992e-09
10.84,-28.4963,65.7721,-7.59992e-09
10.86,-28.9883,65.7643,-7.59992e-09
10.88,-29.4802,65.7565,-7.59992e-09
10.9,-29.9721,65.7488,-7.59992e-09
10.92,-30.4641,65.741,-7.59992e-09
10.94,-30.956,65.7333,0
10.96,-31.448,65.7255,0
10.98,-31.9399,65.7177,0
11,-32.4318,65.71,0
11.02,-32.9238,65.7022,0
11.04,-33.4157,65.6945,0
11.06,-33.9077,65.6867,0
11.08,-34.3996,65.6789,0
11.1,-34.8915,65.6712,0
11.12,-35.3835,65.6634,0
11.14,-35.8754,65.6556,0
11.16,-36.3673,65.6479,0
11.18,-36.8593,65.6401,0
11.2,-37.3512,65.6324,0
11.22,-37.8432,65.6246,0
11.24,-38.3351,65.6168,0
11.26,-38.827,65.6091,0
11.28,-39.319,65.6013,0
11.3,-39.8109,65.5935,0
11.32,-40.3029,65.5858,1.46025e-08
11.34,-40.7948,65.578,0
11.36,-41.2867,65.5703,0
11.38,-41.7787,65.5625,0
11.4,-42.2706,65.5547,0
11.42,-42.7626,65.547,0
11.44,-43.2545,65.5392,-1.51998e-08
11.46,-43.7464,65.5314,-7.30124e-09
11.48,-44.2384,65.5237,-7.30124e-09
11.5,-44.7303,65.5159,-7.30124e-09
11.52,-45.2222,65.5082,-7.30124e-09
11.54,-45.7142,65.5004,-7.30124e-09
